Name,Location,Phone,Website,Notes
"Katesville Pallet Mill, Inc.","Louisburg, NC 27549 (Franklinton area)","(919) 496-3162","N/A","Local pallet manufacturer. High likelihood of having or sourcing 48x40 or 48x48 Gaylord boxes."
"PalletOne Inc.","1010 26th Street, Butner, NC 27509","919-575-6491","https://www.palletone.com/butner-nc/","Large pallet recycler (~25 miles away). Known for standard 48x40 and potential custom sizes. Likely has rectangular bulk bins."
"Repackify (Marketplace)","Smithfield, Fuquay Varina, Cary, Fayetteville, Charlotte, NC","(888) 413-7506","https://www.repackify.com/buy-gaylord-boxes/north-carolina","Online marketplace with verified listings. Search specifically for '48x40' or '48x48' square/rectangular boxes. Avoid octagonal listings."
"Southern Container Corporation","6003 Ward Blvd, Wilson, NC 27894","(252) 237-0539","https://socontainers.com/","Specializes in agricultural and bulk packaging. Strong candidate for square/rectangular Gaylord boxes."
"Louisburg Recycling","790 NC-561, Louisburg, NC 27549","919-340-0565","http://louisburgrecycling.com/","Primary focus is scrap metal/waste, but may have leads on used industrial bins."
"Carolina Packaging & Supply, Inc.","3215 Wellington Ct., #108, Raleigh, NC 27615","919.876.1616","N/A","General packaging supply. Inquire about bulk rectangular bins."
"Sonoco Recycling","Raleigh, NC","N/A","https://www.sonoco.com/na/products/services/recycling","Major recycler handling OCC. Good contact for bulk used boxes."
"Stephen Gould","One Copley Parkway, Suite 106, Morrisville NC 27560","+1 919 547 3700","https://www.stephengould.com/morrisville-nc/","Packaging design and supply. Located in Morrisville."
"MM Greensboro (MM Packaging US Inc.)","1072 Boulder Road, Greensboro, NC 27409","+1 336 292 4555","https://mm.group/locations/mm-greensboro/","Focuses on pharmaceutical/healthcare labels and folding cartons. May not have used Gaylords but is a large packaging facility ~85 miles away."
"PIP Danville","329 Riverview Drive, Danville, VA 24541","434-792-0020","https://www.pip.com/danvilleva156/products-services/labels-packaging/corrugated-shipping-packaging","Offers corrugated shipping packaging. Located ~65 miles north. Good for new custom boxes, potentially used."
"U-Haul Moving & Storage of Dan River","Danville, VA 24540","1-800-468-4285","https://www.uhaul.com/Locations/Supplies-near-Danville-VA-24540/","General moving supplies. Likely only small quantities of new boxes, but a fallback option."
"PostalAnnex","2120 E Fire Tower Rd #107, Greenville, NC 27858","(252) 689-6920","https://www.postalannex.com/packaging-supplies/greenville/18005","Packaging supplies in Greenville (~60 miles). Likely smaller scale."
