Company,Annual Sales,Detail URL,NAICS,Reason
Freedom Ranch,"<$500,000",,1129,Sales not a number
Hayes Taxidermy,"<$500,000",,1152,Sales not a number
Kerr Lake Dachshunds,"<$500,000",,1152,Sales not a number
Zealous Blue Chinese Sharpei,"<$500,000",,1152,Sales not a number
First Fruit Farms,"<$500,000",,1119,Sales not a number
Hillside Farms NC LLC,"<$500,000",,1119,Sales not a number
LHC Properties LLC,"<$500,000",,1119,Sales not a number
Pegram Farms Inc,"<$500,000",,1119,Sales not a number
Stone Bridge Farm LLC,"<$500,000",,1119,Sales not a number
Chase Development Co,"<$500,000",,2372,Sales not a number
Green Rural R E Development,"<$500,000",,2372,Sales not a number
Henderson Public Works,,,2373,Sales not a number
Top Notch Grading & Hauling,"<$500,000",,2373,Sales not a number
Bear Rock Concrete,"<$500,000",,2381,Sales not a number
Bryans Roofing & Siding,"<$500,000",,2381,Sales not a number
Cortez Roofing,"<$500,000",,2381,Sales not a number
Cruz Roofing Co & Home Imprvmt,"<$500,000",,2381,Sales not a number
Custom Siding Gutters-Hm,"<$500,000",,2381,Sales not a number
Duran Roofing,"<$500,000",,2381,Sales not a number
Four Seasons Seamless Gutters,"<$500,000",,2381,Sales not a number
Greystone Concrete Prod Inc,"<$500,000",,2381,Sales not a number
Harris Brothers Masonry,"<$500,000",,2381,Sales not a number
JC Roofing & Svc LLC,"<$500,000",,2381,Sales not a number
Kearney's Masonry LLC,"<$500,000",,2381,Sales not a number
Piedmont Seal & Stripe,"<$500,000",,2381,Sales not a number
Santana Roofing LLC,"<$500,000",,2381,Sales not a number
Taylor's Masonary & Stoneworks,"<$500,000",,2381,Sales not a number
W L Wert Gutters Shields,"<$500,000",,2381,Sales not a number
Winn's Masonry,"<$500,000",,2381,Sales not a number
AB Robinson Heating & Air LLC,"<$500,000",,2382,Sales not a number
BPR Plumbing,"<$500,000",,2382,Sales not a number
Chavis & Son Electrical Svc,"<$500,000",,2382,Sales not a number
Edwards Rick Electric,"<$500,000",,2382,Sales not a number
Gateway Heating & Cooling,"<$500,000",,2382,Sales not a number
Hargrove Willie Electric,"<$500,000",,2382,Sales not a number
Harp Plumbing & Electric,"<$500,000",,2382,Sales not a number
K T Moore Septic Tank Svc,"<$500,000",,2382,Sales not a number
Mid-South Electric Svc,"<$500,000",,2382,Sales not a number
Mosley Plumbing Co Inc,"<$500,000",,2382,Sales not a number
Newton & Sons HVAC,"<$500,000",,2382,Sales not a number
Ranes Heating & Air,"<$500,000",,2382,Sales not a number
RK & B Plumbing Inc,"<$500,000",,2382,Sales not a number
T & G Electrical & Plbg Inc,"<$500,000",,2382,Sales not a number
Tabourn Heating & Air Cond LLC,"<$500,000",,2382,Sales not a number
TLC Heating & Cooling LLC,"<$500,000",,2382,Sales not a number
Currin's Cabinet Shop,"<$500,000",,2383,Sales not a number
Hughes Insulation Inc,"<$500,000",,2383,Sales not a number
Knight's Pressure Washing-Pnt,"<$500,000",,2383,Sales not a number
Rivera Brothers Drywall Inc,"<$500,000",,2383,Sales not a number
Bush Master Land Management,,,2389,Sales not a number
Abbott Fencing,"<$500,000",,2389,Sales not a number
APC Field Svc,"<$500,000",,2389,Sales not a number
Faulkner Grading & Landscpg,"<$500,000",,2389,Sales not a number
Harper's Crane Svc,"<$500,000",,2389,Sales not a number
Pearce's Backhoe Svc,"<$500,000",,2389,Sales not a number
Trilake Softwash LLC,"<$500,000",,2389,Sales not a number
Zwizzy LLC,"<$500,000",,2389,Sales not a number
El Pancito,"<$500,000",,3118,Sales not a number
Brass Shoppe & Fireplace Ctr,"<$500,000",,3272,Sales not a number
Riggan Sheet Metal Works,"<$500,000",,3323,Sales not a number
Automotive Machine Svc,"<$500,000",,3327,Sales not a number
Briggs Automotive & Mach Svc,"<$500,000",,3327,Sales not a number
Roy Bridgmohan,"<$500,000",,3327,Sales not a number
Pernell's Steel & Machine Svc,"<$500,000",,3329,Sales not a number
